MKTDUB,pdub,poscar,pbpreg,pbpbeef
0.045456499,149,169,169,180
0.093014501,149,199,189,205
0.059665602,189,199,189,205
0.0345966,189,199,189,201
0.027653599,189,169,159,166
0.029422401,189,199,189,196
0.036883201,189,199,189,198
0.041336901,189,189,189,201
0.0291296,189,189,169,184
0.039163899,189,189,189,197
0.033574101,189,189,189,201
0.034527499,189,179,189,202
0.041544098,189,189,189,206
0.0354724,189,189,189,205
0.037291098,189,179,189,202
0.0387742,189,189,189,205
0.0346312,179,189,179,192
0.0308691,179,189,189,204
0.030623101,179,189,189,195
0.0357931,179,159,189,206
0.034115601,179,189,189,198
0.029158801,179,189,189,196
0.0303488,179,189,189,200
0.034320898,179,189,189,202
0.0604463,148,168,178,191
0.035579,148,168,178,190
0.038465299,148,168,159,168
0.048557799,148,168,159,165
0.039835401,148,168,159,176
0.0497871,148,168,159,173
0.0577287,148,168,178,191
0.031367,148,168,159,175
0.0489478,148,168,159,167
0.047501199,148,168,178,187
0.0366625,148,168,149,161
0.041130699,148,168,149,160
0.048752401,148,168,178,192
0.0313043,148,168,149,162
0.0225279,169,159,149,157
0.030745899,169,159,149,158
0.029246399,169,179,149,154
0.021322301,159,159,149,149
0.0285528,159,159,149,149
0.025172601,169,179,179,189
0.087335303,159,179,179,193
0.054421298,159,159,179,195
0.022983,159,149,149,162
0.0287246,159,149,149,155
0.0304095,169,179,159,167
0.0271331,169,169,159,167
0.0195262,169,169,159,175
0.046467599,149,179,159,168
0.034252301,149,149,159,169
0.0235884,169,149,159,171
0.0223484,169,179,159,170
0.0170945,169,149,159,174
0.040803,159,149,159,165
0.032777902,159,179,159,169
0.031713899,169,179,159,176
0.022460399,169,179,149,160
0.022438001,169,159,149,166
0.0291005,169,159,179,190
0.0308691,169,159,179,193
0.0603255,139,159,179,188
0.040035099,139,159,179,196
0.0241614,169,159,159,165
0.0257325,169,159,159,168
0.0313356,169,159,179,196
0.039995,159,179,159,174
0.026542701,159,179,159,175
0.065480702,150,179,159,169
0.0244286,169,159,179,193
0.0173182,169,159,159,171
0.0187231,178,179,159,175
0.022914199,178,169,179,188
0.036044501,169,169,169,177
0.024502,169,179,169,182
0.034423999,169,169,179,191
0.024234001,169,169,159,165
0.0169413,178,179,159,174
0.034804799,169,169,159,167
0.0259392,169,169,179,193
0.028839801,178,169,179,195
0.019254699,178,169,159,168
0.0170603,178,179,159,165
0.0485093,159,179,179,186
0.023306999,159,149,179,190
0.0145524,178,149,149,149
0.050237201,159,149,149,156
0.053024601,159,179,179,193
0.024872299,178,169,179,190
0.013926,178,169,149,155
0.0257583,149,129,149,151
0.031936701,149,129,149,149
0.022415601,178,179,149,145
0.021687901,178,149,149,150
0.056190901,159,149,179,194
0.0303791,159,159,159,169
0.0164735,178,159,159,170
0.0456843,159,179,179,195
0.0354724,159,149,179,190
0.0236356,159,149,139,151
0.049439799,159,149,139,146
0.032386899,159,179,169,173
0.0223708,179,179,169,169
0.0190631,179,179,159,163
0.035014302,159,179,159,155
0.0295994,159,179,169,167
0.0234708,179,179,169,170
0.025223,179,179,179,195
0.054421298,159,169,179,195
0.061790898,159,169,179,185
0.074795298,149,169,179,187
