Paper,Sunday,Daily
Des Moines Register,344.522,206.203
Philadelphia Inquirer,982.663,515.523
Tampa Tribune,408.342,321.626
New York Times,1762.015,1209.224
New York News,983.239,781.796
Sacramento Bee,338.355,273.843
Los Angeles Times,1531.526,1164.387
Boston Globe,798.297,516.981
Cicinnati Enquirer,348.743,198.832
Orange Co. Register,407.760,354.842
Miami Herald,553.479,444.580
Chicago Tribune,1133.249,733.775
Detroit News,1215.149,481.765
Houston Chronicle,620.752,449.755
Kansas City Star,423.304,288.571
Omaha World Herald,284.610,223.748
Denver Post,417.778,252.623
St. Louis Post-Dispatch,585.681,391.286
Portland Oregonian,440.923,337.671
Washington Post,1165.567,838.901
Long Island Newsday,960.307,825.512
San Francisco Chronicle,704.322,570.364
Chicago Sun Times,559.093,537.780
Minneapolis Star Tribune,685.974,412.871
Baltimore Sun,488.506,391.951
Pittsburgh Press,557.000,220.464
Rocky Mountain News,432.502,374.009
Boston Herald,235.083,355.627
New Orleans Times-Picayune,324.240,272.279
Charlotte Observer,299.450,238.554
Hartford Courant,323.084,231.177
Rochester Democratic and Chronicle,262.048,133.238
St. Paul Pioneer Press,267.781,201.860
Providence Journal-Bulletin,268.059,197.119
L.A. Daily News,202.613,185.735
